out,in,threads,floatact_ms,binact_ms
512,512,1,9.13222630818685,7.338523864746094
512,512,2,14.748414357503256,10.732809702555338
512,512,4,7.968584696451822,9.936014811197916
512,512,8,12.704133987426758,7.853269577026367
1024,512,1,8.996168772379557,8.066574732462565
1024,512,2,11.651118596394857,6.795406341552734
1024,512,4,11.848370234171549,5.519707997639974
1024,512,8,10.967095692952475,7.7215830485026045
2048,1024,1,21.563053131103516,5.824565887451172
2048,1024,2,17.705917358398438,9.317636489868164
2048,1024,4,16.640424728393555,13.681888580322266
2048,1024,8,15.474398930867514,6.631294886271159
4096,2048,1,57.97537167867025,8.013089497884115
4096,2048,2,40.231784184773765,9.295781453450521
4096,2048,4,39.68175252278646,14.27133878072103
4096,2048,8,35.47509511311849,14.681418736775717
